id_candidat;prenom;nom;sexe;date_naissance;id_twitter;compte_verifie;date_creation_compte;annee_election;date_premier_tour;nom_annee_election;nom_derniere_election;sortant;dissident;parti_vainqueur_presidentielles;resultat_election;nb_tweets_elec_period;nb_tweets_reserve_period;nb_tweets_last_week;nb_tweets_1st_concern;nb_tweets_2nd_concern;nb_tweets_3rd_concern;sum_likes_elec_period;max_likes_elec_period;avg_likes_elec_period;sum_likes_reserve_period;max_likes_reserve_period;avg_likes_reserve_period;sum_likes_last_week;max_likes_last_week;avg_likes_last_week;sum_likes_1st_concern;max_likes_1st_concern;avg_likes_1st_concern;sum_likes_2nd_concern;max_likes_2nd_concern;avg_likes_2nd_concern;sum_likes_3rd_concern;max_likes_3rd_concern;avg_likes_3rd_concern;sum_retweets_elec_period;max_retweets_elec_period;avg_retweets_elec_period;sum_retweets_reserve_period;max_retweets_reserve_period;avg_retweets_reserve_period;sum_retweets_last_week;max_retweets_last_week;avg_retweets_last_week;sum_retweets_1st_concern;max_retweets_1st_concern;avg_retweets_1st_concern;sum_retweets_2nd_concern;max_retweets_2nd_concern;avg_retweets_2nd_concern;sum_retweets_3rd_concern;max_retweets_3rd_concern;avg_retweets_3rd_concern
13;Florence;Castillon;F;1951-02-09;1.3264585422667366e+18;;2020-11-01;2017;2017-06-11;DVD;DVD;False;False;LREM;False;0;0;0;0;0;0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0
14;Hicham;Fassi Fihri;M;1965-10-16;68457158.0;False;2009-08-01;2017;2017-06-11;ECO;ECO;False;False;LREM;False;80;23;13;0;0;0;87;7.0;1.0;24;7.0;1.0;10;2.0;1.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;2663;2327.0;33.0;222;146.0;10.0;150;146.0;12.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0
15;Hervé;Masnyou;M;1964-03-25;;;;2017;2017-06-11;DVG;DVG;False;False;LREM;False;0;0;0;0;0;0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0
16;Mehdi;Kemoune;M;1972-02-17;377865606.0;False;2011-09-01;2017;2017-06-11;FI;NUPES;False;False;LREM;False;252;148;84;3;4;1;275;105.0;1.0;210;105.0;1.0;84;21.0;1.0;0;0.0;0.0;3;3.0;1.0;3;3.0;3.0;55915;6623.0;222.0;14668;1468.0;99.0;6586;1468.0;78.0;574;329.0;191.0;69;69.0;17.0;1;1.0;1.0
17;Roger;Domard;M;1945-11-09;;False;2022-04-01;2017;2017-06-11;EXG;DXG;False;False;LREM;False;0;0;0;0;0;0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0
18;Olivier;Cohen;M;1963-10-25;58584212.0;False;2009-07-01;2017;2017-06-11;DIV;DIV;False;False;LREM;False;0;0;0;0;0;0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0
19;Jean-Philippe;Renau;M;1954-01-01;;;;2017;2017-06-11;DIV;DIV;False;False;LREM;False;0;0;0;0;0;0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0
20;Atanase;Périfan;M;1964-08-19;2188765218.0;False;2013-11-01;2017;2017-06-11;LR;LR;False;False;LREM;False;0;0;0;0;0;0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0
21;Antoinette;Guhl;F;1970-06-10;493483010.0;False;2012-02-01;2017;2017-06-11;ECO;ECO;False;False;LREM;False;0;0;0;0;0;0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0
22;George;Pau-Langevin;F;1948-10-19;81063019.0;False;2009-10-01;2017;2017-06-11;SOC;NUPES;True;False;LREM;True;229;94;41;0;8;0;2352;192.0;10.0;913;39.0;10.0;359;30.0;9.0;0;0.0;0.0;47;10.0;6.0;0;0.0;0.0;3154;598.0;14.0;549;81.0;6.0;222;16.0;5.0;0;0.0;0.0;111;82.0;14.0;0;0.0;0.0
23;Nina;Abdoulhamidi;F;1978-02-26;;;;2017;2017-06-11;ECO;ECO;False;False;LREM;False;0;0;0;0;0;0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0
24;Philippe;Aragon;M;1968-05-23;1728425251.0;False;2013-09-01;2017;2017-06-11;DVD;DVD;False;False;LREM;False;134;54;8;1;0;0;129;5.0;1.0;95;4.0;2.0;13;4.0;2.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;18463;10178.0;138.0;12459;10178.0;231.0;370;353.0;46.0;353;353.0;353.0;0;0.0;0.0;0;0.0;0.0
25;Dalila;Lasfar;F;1978-06-27;8.699122156919603e+17;False;2016-05-01;2017;2017-06-11;RDG;RDG;False;False;LREM;False;31;31;19;0;0;0;3;3.0;0.0;3;3.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;3574;1324.0;115.0;3574;1324.0;115.0;2140;1324.0;113.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0
3;Arnaud;Charvillat;M;1977-10-28;;;;2017;2017-06-11;EXG;DXG;False;False;LREM;False;0;0;0;0;0;0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0
26;Didier;Chabaille;M;1958-03-18;;;;2017;2017-06-11;DLF;DSV;False;False;LREM;False;0;0;0;0;0;0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0
27;Jacques;Baudrier;M;1966-06-11;3362289555.0;False;2015-07-01;2017;2017-06-11;COM;NUPES;False;False;LREM;False;0;0;0;0;0;0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0
28;Ariane;Dreyfus;F;1991-02-15;1.0544176193386209e+18;False;2018-10-01;2017;2017-06-11;DIV;DIV;False;False;LREM;False;0;0;0;0;0;0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0
29;Colette;Anglada;F;1961-12-27;;;;2017;2017-06-11;DIV;DIV;False;False;LREM;False;0;0;0;0;0;0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0
30;Julien;Volganli;M;1984-11-04;;;;2012;2012-06-10;AUT;DIV;False;False;PS;False;0;0;0;0;0;0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0
31;Arnaud;Volganli;M;1977-10-28;;;;2012;2012-06-10;EXG;DXG;False;False;PS;False;0;0;0;0;0;0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0
32;Nancy;Verdier;F;1945-03-13;;;;2012;2012-06-10;DVD;DVD;False;False;PS;False;0;0;0;0;0;0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0
33;Hacen;Mohammedi;M;1985-10-27;;;;2012;2012-06-10;AUT;DIV;False;False;PS;False;0;0;0;0;0;0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0
34;Abbès;Benaissa;M;1981-05-29;;;;2012;2012-06-10;AUT;DIV;False;False;PS;False;0;0;0;0;0;0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0
